"filename", "language", "TypeScript React", "SCSS", "comment", "blank", "total"
"/Users/julianklummer/WebProjects/synergic/src/app/styles/config/fonts.scss", "SCSS", 0, 17, 0, 3, 20
"/Users/julianklummer/WebProjects/synergic/src/app/styles/config/index.scss", "SCSS", 0, 5, 0, 0, 5
"/Users/julianklummer/WebProjects/synergic/src/app/styles/config/site-wrapper.scss", "SCSS", 0, 34, 0, 7, 41
"/Users/julianklummer/WebProjects/synergic/src/app/styles/config/transitions.scss", "SCSS", 0, 3, 0, 0, 3
"/Users/julianklummer/WebProjects/synergic/src/app/styles/functions/index.scss", "SCSS", 0, 2, 0, 1, 3
"/Users/julianklummer/WebProjects/synergic/src/app/styles/functions/media-query.scss", "SCSS", 0, 72, 0, 10, 82
"/Users/julianklummer/WebProjects/synergic/src/app/styles/functions/rem-convert.scss", "SCSS", 0, 8, 0, 2, 10
"/Users/julianklummer/WebProjects/synergic/src/app/styles/index.scss", "SCSS", 0, 3, 0, 1, 4
"/Users/julianklummer/WebProjects/synergic/src/app/styles/template/index.scss", "SCSS", 0, 1, 0, 1, 2
"/Users/julianklummer/WebProjects/synergic/src/app/styles/template/typography.scss", "SCSS", 0, 15, 0, 3, 18
"/Users/julianklummer/WebProjects/synergic/src/app/types/ComponentData.tsx", "TypeScript React", 17, 0, 0, 3, 20
"/Users/julianklummer/WebProjects/synergic/src/app/types/PageData.tsx", "TypeScript React", 22, 0, 0, 5, 27
"/Users/julianklummer/WebProjects/synergic/src/app/types/TemplateData.tsx", "TypeScript React", 11, 0, 0, 2, 13
"Total", "-", 2348, 196, 6, 316, 2866
