"filename", "language", "TypeScript React", "XML", "JSON", "SCSS", "comment", "blank", "total"
"/Users/julianklummer/WebProjects/synergic/src/editor/contexts/CurrentEditedTemplate.tsx", "TypeScript React", 26, 0, 0, 0, 0, 7, 33
"/Users/julianklummer/WebProjects/synergic/src/editor/contexts/CurrentEditedTemplateComponent.tsx", "TypeScript React", 31, 0, 0, 0, 0, 7, 38
"/Users/julianklummer/WebProjects/synergic/src/editor/index.tsx", "TypeScript React", 25, 0, 0, 0, 0, 2, 27
"/Users/julianklummer/WebProjects/synergic/src/editor/pages/404/NoMatch.tsx", "TypeScript React", 4, 0, 0, 0, 0, 2, 6
"/Users/julianklummer/WebProjects/synergic/src/editor/pages/componentCreator/ComponentCreator.tsx", "TypeScript React", 45, 0, 0, 0, 0, 2, 47
"/Users/julianklummer/WebProjects/synergic/src/editor/pages/pageEditor/PageEditor.tsx", "TypeScript React", 37, 0, 0, 0, 0, 2, 39
"/Users/julianklummer/WebProjects/synergic/src/editor/pages/start/Start.tsx", "TypeScript React", 30, 0, 0, 0, 0, 2, 32
"/Users/julianklummer/WebProjects/synergic/src/editor/pages/templateEditor/TemplateEditor.tsx", "TypeScript React", 47, 0, 0, 0, 0, 2, 49
"/Users/julianklummer/WebProjects/synergic/src/editor/router/Router.tsx", "TypeScript React", 30, 0, 0, 0, 0, 3, 33
"/Users/julianklummer/WebProjects/synergic/src/editor/router/routes.tsx", "TypeScript React", 44, 0, 0, 0, 0, 4, 48
"/Users/julianklummer/WebProjects/synergic/src/editor/services/base/builderApiUrl.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 1
"/Users/julianklummer/WebProjects/synergic/src/editor/services/base/contentApiUrl.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 1
"/Users/julianklummer/WebProjects/synergic/src/editor/services/base/fetchApi.tsx", "TypeScript React", 44, 0, 0, 0, 1, 9, 54
"/Users/julianklummer/WebProjects/synergic/src/editor/services/compounds/createCompound.tsx", "TypeScript React", 13, 0, 0, 0, 0, 1, 14
"/Users/julianklummer/WebProjects/synergic/src/editor/services/compounds/deleteCompound.tsx", "TypeScript React", 9, 0, 0, 0, 0, 2, 11
"/Users/julianklummer/WebProjects/synergic/src/editor/services/compounds/getCompounds.tsx", "TypeScript React", 6, 0, 0, 0, 0, 1, 7
"/Users/julianklummer/WebProjects/synergic/src/editor/services/compounds/updateCompoundGrid.tsx", "TypeScript React", 13, 0, 0, 0, 0, 1, 14
"/Users/julianklummer/WebProjects/synergic/src/editor/services/pages/createPage.tsx", "TypeScript React", 12, 0, 0, 0, 0, 1, 13
"/Users/julianklummer/WebProjects/synergic/src/editor/services/pages/deletePage.tsx", "TypeScript React", 9, 0, 0, 0, 0, 2, 11
"/Users/julianklummer/WebProjects/synergic/src/editor/services/pages/getPages.tsx", "TypeScript React", 6, 0, 0, 0, 0, 1, 7
"/Users/julianklummer/WebProjects/synergic/src/editor/services/pages/updatePageContent.tsx", "TypeScript React", 12, 0, 0, 0, 0, 3, 15
"/Users/julianklummer/WebProjects/synergic/src/editor/services/pages/updatePageProperty.tsx", "TypeScript React", 12, 0, 0, 0, 0, 3, 15
"/Users/julianklummer/WebProjects/synergic/src/editor/services/pages/updatePageTemplate.tsx", "TypeScript React", 14, 0, 0, 0, 0, 1, 15
"/Users/julianklummer/WebProjects/synergic/src/editor/services/templates/createTemplate.tsx", "TypeScript React", 13, 0, 0, 0, 0, 2, 15
"/Users/julianklummer/WebProjects/synergic/src/editor/services/templates/deleteTemplate.tsx", "TypeScript React", 9, 0, 0, 0, 0, 3, 12
"/Users/julianklummer/WebProjects/synergic/src/editor/services/templates/getTemplate.tsx", "TypeScript React", 6, 0, 0, 0, 0, 2, 8
"/Users/julianklummer/WebProjects/synergic/src/editor/services/templates/getTemplates.tsx", "TypeScript React", 6, 0, 0, 0, 0, 1, 7
"/Users/julianklummer/WebProjects/synergic/src/editor/services/templates/updateTemplateOrganisms.tsx", "TypeScript React", 13, 0, 0, 0, 0, 1, 14
"/Users/julianklummer/WebProjects/synergic/src/editor/types/Atom.tsx", "TypeScript React", 20, 0, 0, 0, 0, 5, 25
"/Users/julianklummer/WebProjects/synergic/src/editor/types/Compound.tsx", "TypeScript React", 12, 0, 0, 0, 0, 3, 15
"/Users/julianklummer/WebProjects/synergic/src/editor/types/Page.tsx", "TypeScript React", 20, 0, 0, 0, 0, 5, 25
"/Users/julianklummer/WebProjects/synergic/src/editor/types/Template.tsx", "TypeScript React", 7, 0, 0, 0, 0, 2, 9
"/Users/julianklummer/WebProjects/synergic/src/resources/components/atoms/atomRegistry.tsx", "TypeScript React", 15, 0, 0, 0, 14, 3, 32
"/Users/julianklummer/WebProjects/synergic/src/resources/components/atoms/headline/Headline.tsx", "TypeScript React", 61, 0, 0, 0, 0, 9, 70
"/Users/julianklummer/WebProjects/synergic/src/resources/components/atoms/headline/headline.scss", "SCSS", 0, 0, 0, 72, 0, 16, 88
"/Users/julianklummer/WebProjects/synergic/src/resources/components/atoms/paragraph/Paragraph.tsx", "TypeScript React", 30, 0, 0, 0, 0, 7, 37
"/Users/julianklummer/WebProjects/synergic/src/resources/components/atoms/paragraph/paragraph.scss", "SCSS", 0, 0, 0, 9, 0, 2, 11
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/config/breakpoints.scss", "SCSS", 0, 0, 0, 11, 0, 1, 12
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/config/breakpoints.tsx", "TypeScript React", 11, 0, 0, 0, 0, 1, 12
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/config/colors.scss", "SCSS", 0, 0, 0, 7, 0, 1, 8
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/config/fonts.scss", "SCSS", 0, 0, 0, 73, 9, 1, 83
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/config/index.scss", "SCSS", 0, 0, 0, 5, 0, 0, 5
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/config/site-wrapper.scss", "SCSS", 0, 0, 0, 34, 0, 7, 41
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/config/transitions.scss", "SCSS", 0, 0, 0, 3, 0, 0, 3
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/editor/index.scss", "SCSS", 0, 0, 0, 1, 0, 1, 2
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/editor/textarea.scss", "SCSS", 0, 0, 0, 8, 0, 1, 9
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/functions/index.scss", "SCSS", 0, 0, 0, 2, 0, 1, 3
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/functions/media-query.scss", "SCSS", 0, 0, 0, 72, 0, 10, 82
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/functions/rem-convert.scss", "SCSS", 0, 0, 0, 8, 0, 2, 10
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/index.scss", "SCSS", 0, 0, 0, 4, 0, 1, 5
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/template/index.scss", "SCSS", 0, 0, 0, 2, 0, 1, 3
"/Users/julianklummer/WebProjects/synergic/src/resources/styles/template/spacing.scss", "SCSS", 0, 0, 0, 13, 0, 3, 16
